"BW","WL","WW","BL","Gender","Species"
0.27,29.5774737054016,10.5335876452737,21.8207534372341,"F","tredecula"
0.16,25.9491842889693,10.9172956503462,24.4993535759859,"M","tredecula"
0.1,25.8936466281302,10.4811899417546,20.6232947721146,"M","tredecula"
0.31,30.7528641228564,12.4272457016632,25.9603343962226,"F","tredecassini"
0.26,30.4308706647716,10.6508949273266,25.4263138722163,"F","tredecula"
0.26,29.2286659951787,10.8739984892309,22.2066743476316,"F","tredecassini"
0.21,30.1292678138707,13.1306034815498,24.4709656508639,"F","tredecassini"
0.18,22.582515277667,10.5733685679734,24.0403747251257,"M","tredecula"
0.12,21.5314864790998,10.9930088638794,23.7024385672994,"M","tredecim"
0.17,29.4368547357153,12.1916566980071,22.5956488018855,"F","tredecassini"
0.21,31.1205642877612,9.80993276950903,23.7283100571949,"F","tredecassini"
0.22,29.7795844883658,11.0855444360059,23.4250679414254,"F","tredecassini"
0.21,30.0935892260168,11.3030787913594,25.1187159668189,"F","tredecassini"
0.23,31.4454105517361,12.1452329207677,25.3803315530531,"F","tredecassini"
0.24,29.994162580464,9.5691591554787,24.7611572204623,"F","tredecassini"
0.3,28.4380031700712,9.95893510710448,21.5735739765223,"F","tredecassini"
0.18,30.2983618448488,11.3801896711811,23.5985927979928,"F","tredecassini"
0.24,30.2224225469399,12.1832526153885,21.8689027307555,"F","tredecula"
0.18,29.0174569846131,10.6417466809507,24.0959309614263,"M","tredecassini"
0.12,24.5857008676976,10.7768574936781,21.9046260653995,"M","tredecula"
0.23,27.0502666805405,10.9599636145867,22.7092436405364,"F","tredecassini"
0.2,30.0465367124416,13.6931417260785,22.677580437623,"F","tredecassini"
0.21,29.6808451227844,12.7481233815197,23.4606485569384,"F","tredecula"
0.13,27.0795143949799,12.0606060468126,21.844943511067,"M","tredecassini"
0.16,25.6054977991153,10.6711189572234,20.4408697162289,"M","tredecula"
0.16,27.9202692992985,11.2436304073781,24.0292586949654,"M","tredecassini"
0.29,32.8764012921602,15.4385223709978,25.5473699739669,"F","tredecassini"
0.2,28.5714702887926,12.3437604589853,22.0162106882781,"F","tredecassini"
0.21,27.4581677538808,10.8570850284304,19.9028847562149,"F","tredecassini"
0.13,25.6699800817296,11.5688770816196,22.6184266789351,"F","tredecassini"
0.16,29.596325004939,12.3144925369415,23.4175067374017,"F","tredecassini"
0.17,29.2026367920917,11.814983025426,21.5617019620258,"F","tredecassini"
